#omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6
-0.243111	-0.368321	-0.194455	-0.059029
-0.242111	-0.368657	-0.193455	-0.059159
-0.241111	-0.368991	-0.192455	-0.059289
-0.240111	-0.369322	-0.191455	-0.059419
-0.239111	-0.369652	-0.190455	-0.059549
-0.238111	-0.369979	-0.189455	-0.059679
-0.237111	-0.370303	-0.188455	-0.059808
-0.236111	-0.370626	-0.187455	-0.059938
-0.235111	-0.370947	-0.186455	-0.060068
-0.234111	-0.371266	-0.185455	-0.060197
-0.233111	-0.371582	-0.184455	-0.060327
-0.232111	-0.371897	-0.183455	-0.060457
-0.231111	-0.372210	-0.182455	-0.060586
-0.230111	-0.372521	-0.181455	-0.060716
-0.229111	-0.372831	-0.180455	-0.060846
-0.228111	-0.373139	-0.179455	-0.060976
-0.227111	-0.373445	-0.178455	-0.061107
-0.226111	-0.373749	-0.177455	-0.061237
-0.225111	-0.374052	-0.176455	-0.061368
-0.224111	-0.374353	-0.175455	-0.061499
-0.223111	-0.374653	-0.174455	-0.061630
-0.222111	-0.374951	-0.173455	-0.061762
-0.221111	-0.375247	-0.172455	-0.061893
-0.220111	-0.375543	-0.171455	-0.062026
-0.219111	-0.375836	-0.170455	-0.062158
-0.218111	-0.376129	-0.169455	-0.062291
-0.217111	-0.376420	-0.168455	-0.062424
-0.216111	-0.376710	-0.167455	-0.062558
-0.215111	-0.376998	-0.166455	-0.062692
-0.214111	-0.377286	-0.165455	-0.062827
-0.213111	-0.377572	-0.164455	-0.062962
-0.212111	-0.377857	-0.163455	-0.063097
-0.211111	-0.378140	-0.162455	-0.063234
-0.210111	-0.378423	-0.161455	-0.063370
-0.209111	-0.378704	-0.160455	-0.063508
-0.208111	-0.378985	-0.159455	-0.063646
-0.207111	-0.379264	-0.158455	-0.063785
-0.206111	-0.379543	-0.157455	-0.063924
-0.205111	-0.379820	-0.156455	-0.064064
-0.204111	-0.380096	-0.155455	-0.064205
-0.203111	-0.380372	-0.154455	-0.064347
-0.202111	-0.380646	-0.153455	-0.064490
-0.201111	-0.380920	-0.152455	-0.064634
-0.200111	-0.381193	-0.151455	-0.064778
-0.199111	-0.381465	-0.150455	-0.064924
-0.198111	-0.381736	-0.149455	-0.065070
-0.197111	-0.382006	-0.148455	-0.065218
-0.196111	-0.382276	-0.147455	-0.065366
-0.195111	-0.382545	-0.146455	-0.065516
-0.194111	-0.382813	-0.145455	-0.065667
-0.193111	-0.383080	-0.144455	-0.065820
-0.192111	-0.383347	-0.143455	-0.065973
-0.191111	-0.383613	-0.142455	-0.066128
-0.190111	-0.383879	-0.141455	-0.066285
-0.189111	-0.384144	-0.140455	-0.066443
-0.188111	-0.384408	-0.139455	-0.066602
-0.187111	-0.384672	-0.138455	-0.066764
