#omega_28	E_QP(omega)_28#	omega_29	E_QP(omega)_29
-0.194256	-0.316913	-0.129033	-0.015667
-0.193256	-0.317444	-0.128033	-0.015834
-0.192256	-0.317969	-0.127033	-0.016000
-0.191256	-0.318489	-0.126033	-0.016167
-0.190256	-0.319004	-0.125033	-0.016333
-0.189256	-0.319514	-0.124033	-0.016500
-0.188256	-0.320019	-0.123033	-0.016667
-0.187256	-0.320520	-0.122033	-0.016834
-0.186256	-0.321017	-0.121033	-0.017002
-0.185256	-0.321509	-0.120033	-0.017169
-0.184256	-0.321997	-0.119033	-0.017337
-0.183256	-0.322481	-0.118033	-0.017505
-0.182256	-0.322961	-0.117033	-0.017673
-0.181256	-0.323438	-0.116033	-0.017841
-0.180256	-0.323910	-0.115033	-0.018010
-0.179256	-0.324379	-0.114033	-0.018179
-0.178256	-0.324845	-0.113033	-0.018348
-0.177256	-0.325307	-0.112033	-0.018518
-0.176256	-0.325765	-0.111033	-0.018688
-0.175256	-0.326221	-0.110033	-0.018858
-0.174256	-0.326673	-0.109033	-0.019029
-0.173256	-0.327122	-0.108033	-0.019200
-0.172256	-0.327568	-0.107033	-0.019372
-0.171256	-0.328011	-0.106033	-0.019544
-0.170256	-0.328451	-0.105033	-0.019716
-0.169256	-0.328888	-0.104033	-0.019889
-0.168256	-0.329323	-0.103033	-0.020063
-0.167256	-0.329754	-0.102033	-0.020237
-0.166256	-0.330183	-0.101033	-0.020412
-0.165256	-0.330609	-0.100033	-0.020587
-0.164256	-0.331033	-0.099033	-0.020763
-0.163256	-0.331454	-0.098033	-0.020939
-0.162256	-0.331873	-0.097033	-0.021116
-0.161256	-0.332289	-0.096033	-0.021294
-0.160256	-0.332703	-0.095033	-0.021473
-0.159256	-0.333115	-0.094033	-0.021652
-0.158256	-0.333524	-0.093033	-0.021832
-0.157256	-0.333931	-0.092033	-0.022013
-0.156256	-0.334336	-0.091033	-0.022195
-0.155256	-0.334738	-0.090033	-0.022378
-0.154256	-0.335139	-0.089033	-0.022562
-0.153256	-0.335537	-0.088033	-0.022746
-0.152256	-0.335933	-0.087033	-0.022932
-0.151256	-0.336327	-0.086033	-0.023119
-0.150256	-0.336719	-0.085033	-0.023307
-0.149256	-0.337110	-0.084033	-0.023496
-0.148256	-0.337498	-0.083033	-0.023686
-0.147256	-0.337884	-0.082033	-0.023878
-0.146256	-0.338269	-0.081033	-0.024071
-0.145256	-0.338651	-0.080033	-0.024265
-0.144256	-0.339032	-0.079033	-0.024461
-0.143256	-0.339411	-0.078033	-0.024659
-0.142256	-0.339789	-0.077033	-0.024858
-0.141256	-0.340164	-0.076033	-0.025059
-0.140256	-0.340538	-0.075033	-0.025262
-0.139256	-0.340910	-0.074033	-0.025467
-0.138256	-0.341281	-0.073033	-0.025674
-0.137256	-0.341650	-0.072033	-0.025883
-0.136256	-0.342017	-0.071033	-0.026095
-0.135256	-0.342383	-0.070033	-0.026309
-0.134256	-0.342747	-0.069033	-0.026526
-0.133256	-0.343110	-0.068033	-0.026746
-0.132256	-0.343471	-0.067033	-0.026969
-0.131256	-0.343831	-0.066033	-0.027196
-0.130256	-0.344189	-0.065033	-0.027426
-0.129256	-0.344546	-0.064033	-0.027661
-0.128256	-0.344901	-0.063033	-0.027900
-0.127256	-0.345255	-0.062033	-0.028144
-0.126256	-0.345608	-0.061033	-0.028393
-0.125256	-0.345959	-0.060033	-0.028648
-0.124256	-0.346309	-0.059033	-0.028910
-0.123256	-0.346658	-0.058033	-0.029179
-0.122256	-0.347005	-0.057033	-0.029457
-0.121256	-0.347352	-0.056033	-0.029744
-0.120256	-0.347696	-0.055033	-0.030042
-0.119256	-0.348040	-0.054033	-0.030352
-0.118256	-0.348383	-0.053033	-0.030676
-0.117256	-0.348724	-0.052033	-0.031017
-0.116256	-0.349064	-0.051033	-0.031378
-0.115256	-0.349403	-0.050033	-0.031763
-0.114256	-0.349741	-0.049033	-0.032176
-0.113256	-0.350078	-0.048033	-0.032623
-0.112256	-0.350414	-0.047033	-0.033115
-0.111256	-0.350749	-0.046033	-0.033661
-0.110256	-0.351083	-0.045033	-0.034279
-0.109256	-0.351415	-0.044033	-0.034992
-0.108256	-0.351747	-0.043033	-0.035835
-0.107256	-0.352078	-0.042033	-0.036862
-0.106256	-0.352408	-0.041033	-0.038163
-0.105256	-0.352737	-0.040033	-0.039888
-0.104256	-0.353065	-0.039033	-0.042313
