#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3
 -9.476531	-10.847950	 -9.475625	-10.846381	 -0.033031	 -0.992544	 +0.151220	 -0.804946
 -9.466531	-10.849170	 -9.465625	-10.847599	 -0.023031	 -0.993478	 +0.161220	 -0.805932
 -9.456531	-10.850379	 -9.455625	-10.848807	 -0.013031	 -0.994409	 +0.171220	 -0.806924
 -9.446531	-10.851577	 -9.445625	-10.850004	 -0.003031	 -0.995338	 +0.181220	 -0.807925
 -9.436531	-10.852765	 -9.435625	-10.851190	 +0.006969	 -0.996265	 +0.191220	 -0.808935
 -9.426531	-10.853942	 -9.425625	-10.852366	 +0.016969	 -0.997190	 +0.201220	 -0.809954
 -9.416531	-10.855109	 -9.415625	-10.853532	 +0.026969	 -0.998114	 +0.211220	 -0.810984
 -9.406531	-10.856266	 -9.405625	-10.854688	 +0.036969	 -0.999036	 +0.221220	 -0.812026
 -9.396531	-10.857413	 -9.395625	-10.855833	 +0.046969	 -0.999958	 +0.231220	 -0.813081
 -9.386531	-10.858551	 -9.385625	-10.856970	 +0.056969	 -1.000879	 +0.241220	 -0.814152
 -9.376531	-10.859678	 -9.375625	-10.858096	 +0.066969	 -1.001800	 +0.251220	 -0.815238
 -9.366531	-10.860796	 -9.365625	-10.859213	 +0.076969	 -1.002721	 +0.261220	 -0.816344
 -9.356531	-10.861905	 -9.355625	-10.860320	 +0.086969	 -1.003642	 +0.271220	 -0.817472
 -9.346531	-10.863005	 -9.345625	-10.861419	 +0.096969	 -1.004564	 +0.281220	 -0.818626
 -9.336531	-10.864095	 -9.335625	-10.862508	 +0.106969	 -1.005487	 +0.291220	 -0.819810
 -9.326531	-10.865177	 -9.325625	-10.863589	 +0.116969	 -1.006412	 +0.301220	 -0.821034
 -9.316531	-10.866249	 -9.315625	-10.864660	 +0.126969	 -1.007339	 +0.311220	 -0.822308
 -9.306531	-10.867313	 -9.305625	-10.865723	 +0.136969	 -1.008268	 +0.321220	 -0.823653
 -9.296531	-10.868369	 -9.295625	-10.866777	 +0.146969	 -1.009200	 +0.331220	 -0.825112
 -9.286531	-10.869416	 -9.285625	-10.867823	 +0.156969	 -1.010135	 +0.341220	 -0.826784
 -9.276531	-10.870454	 -9.275625	-10.868861	 +0.166969	 -1.011074	 +0.351220	 -0.829021
 -9.266531	-10.871484	 -9.265625	-10.869890	 +0.176969	 -1.012018	 +0.361220	 -0.834550
 -9.256531	-10.872507	 -9.255625	-10.870911	 +0.186969	 -1.012966	 +0.371220	 -0.821717
 -9.246531	-10.873521	 -9.245625	-10.871924	 +0.196969	 -1.013921	 +0.381220	 -0.828396
 -9.236531	-10.874527	 -9.235625	-10.872930	 +0.206969	 -1.014882	 +0.391220	 -0.831007
 -9.226531	-10.875526	 -9.225625	-10.873927	 +0.216969	 -1.015851	 +0.401220	 -0.833166
