#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3#	omega_4	E_QP(omega)_4#	omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6#	omega_7	E_QP(omega)_7#	omega_8	E_QP(omega)_8
-18.371806	-20.085693	 -0.210339	 -1.275024	 +0.284176	 -0.748905	 +0.425727	 -0.600093	 +0.502803	 -0.516687	 +0.861585	 +0.088994	 +0.936850	 +0.156309	 +1.203140	 +0.446294	 +1.255005	 +0.498679
-18.361806	-20.087579	 -0.200339	 -1.275945	 +0.294176	 -0.749704	 +0.435727	 -0.600949	 +0.512803	 -0.517502	 +0.871585	 +0.088358	 +0.946850	 +0.155385	 +1.213140	 +0.444729	 +1.265005	 +0.496374
-18.351806	-20.089451	 -0.190339	 -1.276862	 +0.304176	 -0.750506	 +0.445727	 -0.601809	 +0.522803	 -0.518320	 +0.881585	 +0.087705	 +0.956850	 +0.154422	 +1.223140	 +0.443028	 +1.275005	 +0.494594
-18.341806	-20.091307	 -0.180339	 -1.277773	 +0.314176	 -0.751312	 +0.455727	 -0.602674	 +0.532803	 -0.519141	 +0.891585	 +0.087033	 +0.966850	 +0.153414	 +1.233140	 +0.441156	 +1.285005	 +0.492657
-18.331806	-20.093148	 -0.170339	 -1.278680	 +0.324176	 -0.752123	 +0.465727	 -0.603542	 +0.542803	 -0.519965	 +0.901585	 +0.086341	 +0.976850	 +0.152357	 +1.243140	 +0.439063	 +1.295005	 +0.490387
-18.321806	-20.094973	 -0.160339	 -1.279583	 +0.334176	 -0.752937	 +0.475727	 -0.604416	 +0.552803	 -0.520793	 +0.911585	 +0.085628	 +0.986850	 +0.151245	 +1.253140	 +0.436670	 +1.305005	 +0.486813
-18.311806	-20.096785	 -0.150339	 -1.280482	 +0.344176	 -0.753755	 +0.485727	 -0.605294	 +0.562803	 -0.521625	 +0.921585	 +0.084893	 +0.996850	 +0.150069	 +1.263140	 +0.433850	 +1.315005	 +0.496642
-18.301806	-20.098581	 -0.140339	 -1.281376	 +0.354176	 -0.754579	 +0.495727	 -0.606177	 +0.572803	 -0.522461	 +0.931585	 +0.084134	 +1.006850	 +0.148817	 +1.273140	 +0.430380	 +1.325005	 +0.487309
-18.291806	-20.100363	 -0.130339	 -1.282266	 +0.364176	 -0.755406	 +0.505727	 -0.607065	 +0.582803	 -0.523300	 +0.941585	 +0.083350	 +1.016850	 +0.147472	 +1.283140	 +0.425823	 +1.335005	 +0.483874
-18.281806	-20.102131	 -0.120339	 -1.283153	 +0.374176	 -0.756239	 +0.515727	 -0.607958	 +0.592803	 -0.524144	 +0.951585	 +0.082539	 +1.026850	 +0.146005	 +1.293140	 +0.419196	 +1.345005	 +0.480622
-18.271806	-20.103885	 -0.110339	 -1.284036	 +0.384176	 -0.757076	 +0.525727	 -0.608858	 +0.602803	 -0.524993	 +0.961585	 +0.081699	 +1.036850	 +0.144364	 +1.303140	 +0.407694	 +1.355005	 +0.477050
-18.261806	-20.105626	 -0.100339	 -1.284915	 +0.394176	 -0.757919	 +0.535727	 -0.609762	 +0.612803	 -0.525846	 +0.971585	 +0.080828	 +1.046850	 +0.142437	 +1.313140	 +0.378731	 +1.365005	 +0.472872
-18.251806	-20.107352	 -0.090339	 -1.285790	 +0.404176	 -0.758767	 +0.545727	 -0.610673	 +0.622803	 -0.526704	 +0.981585	 +0.079924	 +1.056850	 +0.139922	 +1.323140	 +0.113350	 +1.375005	 +0.467706
-18.241806	-20.109065	 -0.080339	 -1.286662	 +0.414176	 -0.759620	 +0.555727	 -0.611591	 +0.632803	 -0.527568	 +0.991585	 +0.078983	 +1.066850	 +0.135547	 +1.333140	 +0.504209	 +1.385005	 +0.460859
-18.231806	-20.110764	 -0.070339	 -1.287531	 +0.424176	 -0.760479	 +0.565727	 -0.612514	 +0.642803	 -0.528436	 +1.001585	 +0.078004	 +1.076850	 +0.109940	 +1.343140	 +0.458778	 +1.395005	 +0.450765
-18.221806	-20.112451	 -0.060339	 -1.288397	 +0.434176	 -0.761344	 +0.575727	 -0.613445	 +0.652803	 -0.529310	 +1.011585	 +0.076981	 +1.086850	 +0.148195	 +1.353140	 +0.462175	 +1.405005	 +0.432717
-18.211806	-20.114124	 -0.050339	 -1.289260	 +0.444176	 -0.762215	 +0.585727	 -0.614383	 +0.662803	 -0.530190	 +1.021585	 +0.075911	 +1.096850	 +0.141114	 +1.363140	 +0.447713	 +1.415005	 +0.381844
-18.201806	-20.115784	 -0.040339	 -1.290120	 +0.454176	 -0.763092	 +0.595727	 -0.615327	 +0.672803	 -0.531076	 +1.031585	 +0.074790	 +1.106850	 +0.137663	 +1.373140	 +0.440161	 +1.425005	 +0.849377
