#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1
-0.131325	-0.619996	+0.383618	+0.159842
-0.121325	-0.620594	+0.393618	+0.159589
-0.111325	-0.621191	+0.403618	+0.159329
-0.101325	-0.621787	+0.413618	+0.159060
-0.091325	-0.622383	+0.423618	+0.158783
-0.081325	-0.622978	+0.433618	+0.158496
-0.071325	-0.623573	+0.443618	+0.158199
-0.061325	-0.624169	+0.453618	+0.157891
-0.051325	-0.624764	+0.463618	+0.157572
-0.041325	-0.625361	+0.473618	+0.157239
-0.031325	-0.625958	+0.483618	+0.156893
-0.021325	-0.626556	+0.493618	+0.156532
-0.011325	-0.627156	+0.503618	+0.156154
-0.001325	-0.627758	+0.513618	+0.155758
+0.008675	-0.628361	+0.523618	+0.155343
+0.018675	-0.628966	+0.533618	+0.154906
+0.028675	-0.629574	+0.543618	+0.154445
+0.038675	-0.630184	+0.553618	+0.153957
+0.048675	-0.630798	+0.563618	+0.153440
+0.058675	-0.631414	+0.573618	+0.152890
+0.068675	-0.632034	+0.583618	+0.152303
+0.078675	-0.632658	+0.593618	+0.151674
+0.088675	-0.633287	+0.603618	+0.150998
+0.098675	-0.633919	+0.613618	+0.150267
+0.108675	-0.634556	+0.623618	+0.149474
+0.118675	-0.635199	+0.633618	+0.148609
+0.128675	-0.635847	+0.643618	+0.147660
+0.138675	-0.636501	+0.653618	+0.146612
+0.148675	-0.637161	+0.663618	+0.145445
+0.158675	-0.637828	+0.673618	+0.144136
+0.168675	-0.638502	+0.683618	+0.142652
+0.178675	-0.639184	+0.693618	+0.140952
+0.188675	-0.639874	+0.703618	+0.138977
+0.198675	-0.640572	+0.713618	+0.136648
+0.208675	-0.641280	+0.723618	+0.133847
+0.218675	-0.641997	+0.733618	+0.130397
+0.228675	-0.642725	+0.743618	+0.126011
+0.238675	-0.643464	+0.753618	+0.120195
+0.248675	-0.644215	+0.763618	+0.111987
+0.258675	-0.644978	+0.773618	+0.099168
+0.268675	-0.645755	+0.783618	+0.074685
+0.278675	-0.646545	+0.793618	-0.011145
+0.288675	-0.647351	+0.803618	+0.228988
+0.298675	-0.648174	+0.813618	+0.084281
+0.308675	-0.649014	+0.823618	-0.132134
+0.318675	-0.649872	+0.833618	+0.623170
+0.328675	-0.650751	+0.843618	+0.309773
+0.338675	-0.651651	+0.853618	+0.250370
+0.348675	-0.652575	+0.863618	+0.224728
+0.358675	-0.653524	+0.873618	+0.210193
+0.368675	-0.654500	+0.883618	+0.200713
+0.378675	-0.655507	+0.893618	+0.193967
+0.388675	-0.656545	+0.903618	+0.188869
+0.398675	-0.657619	+0.913618	+0.184839
+0.408675	-0.658732	+0.923618	+0.181540
+0.418675	-0.659888	+0.933618	+0.178760
+0.428675	-0.661091	+0.943618	+0.176358
+0.438675	-0.662348	+0.953618	+0.174238
+0.448675	-0.663664	+0.963618	+0.172331
+0.458675	-0.665046	+0.973618	+0.170586
+0.468675	-0.666504	+0.983618	+0.168961
+0.478675	-0.668049	+0.993618	+0.167426
+0.488675	-0.669693	+1.003618	+0.165955
+0.498675	-0.671454	+1.013618	+0.164525
+0.508675	-0.673351	+1.023618	+0.163117
+0.518675	-0.675410	+1.033618	+0.161711
+0.528675	-0.677665	+1.043618	+0.160291
+0.538675	-0.680162	+1.053618	+0.158836
+0.548675	-0.682960	+1.063618	+0.157329
+0.558675	-0.686143	+1.073618	+0.155746
