#omega_15	E_QP(omega)_15#	omega_16	E_QP(omega)_16#	omega_17	E_QP(omega)_17#	omega_18	E_QP(omega)_18#	omega_19	E_QP(omega)_19#	omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21#	omega_22	E_QP(omega)_22#	omega_23	E_QP(omega)_23#	omega_24	E_QP(omega)_24#	omega_25	E_QP(omega)_25
-0.995467	-0.624901	-0.944634	-0.472857	-0.916139	-0.577595	-0.916139	-0.577592	-0.827286	-0.535038	-0.827285	-0.535048	-0.567847	+0.291675	-0.567846	+0.291635	-0.502885	+0.145910	-0.470016	+0.170712	-0.470016	+0.170712
-0.985467	-0.387811	-0.934634	-0.224152	-0.906139	-0.276480	-0.906139	-0.276483	-0.817286	-0.186587	-0.817285	-0.186572	-0.557847	+0.216521	-0.557846	+0.216513	-0.492885	+0.145520	-0.460016	+0.170402	-0.460016	+0.170402
-0.975467	-0.442185	-0.924634	-0.338274	-0.896139	-0.362667	-0.896139	-0.362656	-0.807286	-0.267139	-0.807285	-0.267076	-0.547847	+0.190180	-0.547846	+0.190176	-0.482885	+0.145135	-0.450016	+0.170093	-0.450016	+0.170093
-0.965467	-0.509666	-0.914634	-0.272497	-0.886139	-0.354995	-0.886139	-0.354993	-0.797286	-0.280347	-0.797285	-0.280361	-0.537847	+0.167874	-0.537846	+0.167871	-0.472885	+0.144753	-0.440016	+0.169786	-0.440016	+0.169786
-0.955467	-0.488112	-0.904634	-0.336070	-0.876139	-0.370192	-0.876139	-0.370191	-0.787286	-0.300935	-0.787285	-0.300935	-0.527847	+0.170969	-0.527846	+0.170968	-0.462885	+0.144374	-0.430016	+0.169479	-0.430016	+0.169479
-0.945467	-0.332445	-0.894634	-0.367002	-0.866139	-0.404347	-0.866139	-0.404347	-0.777286	-0.337559	-0.777285	-0.337561	-0.517847	+0.161711	-0.517846	+0.161710	-0.452885	+0.143997	-0.420016	+0.169172	-0.420016	+0.169173
-0.935467	-0.466360	-0.884634	-0.275455	-0.856139	-0.431404	-0.856139	-0.431404	-0.767286	-0.377745	-0.767285	-0.377748	-0.507847	+0.155002	-0.507846	+0.155001	-0.442885	+0.143622	-0.410016	+0.168866	-0.410016	+0.168867
-0.925467	-0.485431	-0.874634	-0.378633	-0.846139	-0.471916	-0.846139	-0.471916	-0.757286	-0.443254	-0.757285	-0.443260	-0.497847	+0.149591	-0.497846	+0.149590	-0.432885	+0.143249	-0.400016	+0.168561	-0.400016	+0.168561
-0.915467	-0.446383	-0.864634	-0.281376	-0.836139	-0.397907	-0.836139	-0.397907	-0.747286	-0.477542	-0.747285	-0.477556	-0.487847	+0.145033	-0.487846	+0.145032	-0.422885	+0.142877	-0.390016	+0.168255	-0.390016	+0.168255
-0.905467	-0.228526	-0.854634	-0.396993	-0.826139	-0.566567	-0.826139	-0.566567	-0.737286	+0.034100	-0.737285	+0.034062	-0.477847	+0.141087	-0.477846	+0.141087	-0.412885	+0.142506	-0.380016	+0.167948	-0.380016	+0.167949
