#omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21
-0.265504	-0.393594	-0.167381	-0.041922
-0.264504	-0.393920	-0.166381	-0.042060
-0.263504	-0.394245	-0.165381	-0.042199
-0.262504	-0.394568	-0.164381	-0.042337
-0.261504	-0.394889	-0.163381	-0.042476
-0.260504	-0.395208	-0.162381	-0.042616
-0.259504	-0.395525	-0.161381	-0.042755
-0.258504	-0.395841	-0.160381	-0.042895
-0.257504	-0.396155	-0.159381	-0.043036
-0.256504	-0.396467	-0.158381	-0.043177
-0.255504	-0.396778	-0.157381	-0.043318
-0.254504	-0.397087	-0.156381	-0.043459
-0.253504	-0.397394	-0.155381	-0.043601
-0.252504	-0.397700	-0.154381	-0.043743
-0.251504	-0.398005	-0.153381	-0.043886
-0.250504	-0.398308	-0.152381	-0.044029
-0.249504	-0.398609	-0.151381	-0.044172
-0.248504	-0.398909	-0.150381	-0.044316
-0.247504	-0.399208	-0.149381	-0.044460
-0.246504	-0.399505	-0.148381	-0.044605
-0.245504	-0.399801	-0.147381	-0.044750
-0.244504	-0.400096	-0.146381	-0.044895
-0.243504	-0.400389	-0.145381	-0.045041
-0.242504	-0.400681	-0.144381	-0.045187
-0.241504	-0.400972	-0.143381	-0.045334
-0.240504	-0.401262	-0.142381	-0.045482
-0.239504	-0.401550	-0.141381	-0.045630
-0.238504	-0.401837	-0.140381	-0.045778
-0.237504	-0.402123	-0.139381	-0.045927
-0.236504	-0.402408	-0.138381	-0.046076
-0.235504	-0.402692	-0.137381	-0.046226
-0.234504	-0.402974	-0.136381	-0.046377
-0.233504	-0.403256	-0.135381	-0.046528
-0.232504	-0.403536	-0.134381	-0.046679
-0.231504	-0.403815	-0.133381	-0.046831
-0.230504	-0.404093	-0.132381	-0.046984
-0.229504	-0.404371	-0.131381	-0.047137
-0.228504	-0.404647	-0.130381	-0.047291
-0.227504	-0.404922	-0.129381	-0.047446
-0.226504	-0.405196	-0.128381	-0.047601
-0.225504	-0.405469	-0.127381	-0.047757
-0.224504	-0.405741	-0.126381	-0.047913
-0.223504	-0.406013	-0.125381	-0.048070
-0.222504	-0.406283	-0.124381	-0.048228
-0.221504	-0.406552	-0.123381	-0.048386
-0.220504	-0.406821	-0.122381	-0.048545
-0.219504	-0.407089	-0.121381	-0.048705
-0.218504	-0.407355	-0.120381	-0.048865
-0.217504	-0.407621	-0.119381	-0.049027
-0.216504	-0.407886	-0.118381	-0.049189
-0.215504	-0.408151	-0.117381	-0.049351
-0.214504	-0.408414	-0.116381	-0.049515
-0.213504	-0.408677	-0.115381	-0.049679
-0.212504	-0.408938	-0.114381	-0.049844
-0.211504	-0.409199	-0.113381	-0.050010
-0.210504	-0.409460	-0.112381	-0.050177
-0.209504	-0.409719	-0.111381	-0.050345
